AAPL,GOOG,GOOGL,C,BA,MS,MSFT,GS,BAC,NDAQ,T,WFC,AMZN,MCO,BLK,CVX,INTC,PFE,ORCL,HPQ,SBUX,CSCO,NFLX,MRK,CME,BBY,MET,EBAY,CMCSA,MA,CAT,FDX,QCOM,NKE,MCD,HD,DISCA,DISCK,PEP,STT,AMGN,HAL,ALL,MMM,AXP,COP,MDT,CCL,XOM,RTN,TXN,EA,USB,DE,UTX,ADBE,HES,M,XRX,BSX,APA,BIIB,ETFC,EXC,GE,LEN,WHR,MO,KMI,TIF,AVGO,GIS,SLB,ILMN,ETN,ETR,AES,NVDA,JNJ,LMT,AFL,AMAT,DUK,COTY,HUM,GD,HAS,IVZ,DISH,K,AON,AGN,JPM,WYNN,EXPE,PLD,L,JWN,ACN,HCA
0.036627542,-0.11180354,-0.12441232,-0.13982227,0.0059493063,0.035070185,-0.015986873,0.021808494,-0.08480735,-0.0015879154,0.020080727,-0.076670505,0.09604474,0.044813007,-0.16252506,-0.015319176,-0.13987248,-0.04941659,-0.07501333,-0.04381271,-0.15150242,0.02297264,-0.10712787,0.037239082,0.016369663,-0.061327703,-0.12697147,-0.033220556,-0.01741705,-0.016189884,-0.08280681,-0.061066817,-0.1507478,0.012098245,-0.052439254,-0.006059708,-0.073069416,-0.10773551,-0.0064998637,-0.087502554,0.08994497,0.06459505,0.013851552,0.0540949,-0.13985732,-0.022151152,-0.061645843,-0.009828042,0.0022402946,-0.054043382,-0.076614715,-0.106015235,-0.096277006,-0.07485662,-0.13744065,-0.08535344,-0.024691975,-0.100343294,-0.13748544,0.049243543,-0.05841159,-0.017389689,0.06908334,0.0047047767,-0.07998024,0.061857507,0.005424373,0.030524252,3.1578238e-28,-0.004289201,0.065273605,-0.019780558,-0.043673135,-0.026035205,-0.035741016,-0.05603762,-0.007777226,0.028029114,0.067743674,0.0075211218,-0.07993334,-0.2232213,0.021676265,1.6451124e-28,0.034663353,0.07418016,-0.08131152,-0.12513822,-0.025210563,-0.015370385,-0.044203162,-0.0029169293,-0.048898283,-0.11284959,0.11914064,0.001236346,-0.07994691,-0.049734015,0.050660573,4.7560017e-23
-0.120580256,0.064693436,-0.01070027,0.08310925,-0.04534546,0.00017754373,-0.10914979,-0.06107172,0.04950539,0.09918308,-0.063685685,-0.01000755,0.027255727,-0.13622324,0.107595384,0.03284633,-0.06336211,-0.007267405,0.03163667,-0.07510299,-0.101938345,-0.051595006,0.03285255,0.09700257,0.15572482,-0.050828453,0.017669506,-0.06532477,0.05623217,0.10912963,-0.009724183,-0.016148696,-0.08064394,-0.06251219,-0.051759597,-0.0528721,-0.06541042,0.031747118,-0.08790336,0.03774796,0.11167942,-0.13976544,-0.011272674,0.005731304,-0.048183493,-0.15112449,-0.11850467,-0.16291209,0.060622606,-0.01138396,-0.0028272215,-0.035876524,0.0068332986,-0.025890725,-0.058038253,-0.041235704,0.045142002,-0.0727959,-0.08633591,-0.13064441,0.075528264,0.09513066,0.059766278,0.05386491,0.05437747,-0.044874005,0.07279409,0.060789764,0.00021872806,-0.09416895,0.12038447,-0.01689521,-0.11418396,-0.026456194,-0.029837305,0.042773925,0.03938916,-0.06737122,-0.049649894,0.03873257,-0.09540056,0.040505365,-0.027220408,2.6290334e-29,-0.15585485,-0.007357905,-0.14027275,-0.002530752,0.08119376,-0.05093488,0.013886022,-0.02821855,-0.056524687,0.020515004,-0.02083831,0.06341676,0.020719374,0.054732192,0.008499344,-4.631304e-07
0.0028382721,-0.032231625,-0.03157108,-0.16964637,-0.054888617,-0.13343087,-0.061477255,-0.17413476,-0.019821212,-0.05287367,-0.035523526,-0.14488111,0.14883785,0.14339586,-0.089510374,-0.11790172,0.029889928,-0.044249088,0.0057773227,0.07588874,-0.025882078,-0.105855666,0.11096396,0.0007729574,-0.006767629,-0.12207976,-0.20638369,0.03964734,-0.065053515,0.027017396,0.06236214,-0.0781385,-0.08497204,-0.08407897,-0.06851624,-0.05781957,0.017780423,-0.039016895,-0.0453863,-0.084604464,0.050987154,-0.09129843,-0.048990358,-0.03635296,-0.037797693,-0.115642235,0.040970806,-0.071634755,-0.09594039,-0.10146602,0.00528013,-0.033778682,-0.06636607,0.023206422,-0.1927397,-0.079342104,-0.10230171,-0.05836567,-0.06614266,-0.0258367,-0.037120275,0.12247217,-0.16806947,-0.18175937,-0.15416889,-0.08701426,-0.13884369,0.023970334,0.0037975528,-0.045335714,-0.025856603,0.008252235,-0.0527777,-0.11447061,-0.07752039,-0.0949868,-0.22202109,-0.0973357,0.057863038,-0.011686042,-0.09756008,-0.06576459,0.016488101,-1.2067715e-24,0.04919464,0.03528028,0.11080616,-0.050043736,0.02008854,-0.01469692,0.096124105,-0.04335746,-0.10284426,-0.09718192,0.12737136,-0.04392293,-0.10003223,-0.040186953,-0.108496144,-4.3169465e-27
-0.07771467,0.019010074,0.011909154,-0.103691116,-0.011273609,-0.14291748,0.005181674,-0.14048265,-0.061970904,-0.087848574,0.03901271,-0.17499204,-0.046141874,-0.014347469,-0.05236167,-0.13998961,-0.08832355,-0.10138951,-0.019399546,0.023597647,-0.122850865,-0.07735151,0.00063611247,-0.042889837,-0.02790695,-0.07208047,-0.16984709,-0.16212304,-0.02042296,-0.0100904135,-0.10435887,-0.102268785,-0.16077895,0.039595228,-0.054782227,-0.06554446,-0.07074762,0.016578564,-0.0062863906,0.04552376,-0.093876824,-0.0885379,-0.032440074,-0.03297524,-0.194948,-0.118814304,-0.08500759,0.015000378,-0.06261856,-0.05011531,-0.103972636,-0.06525428,-0.13663417,-0.09979068,-0.10125835,-0.024761861,0.009849726,0.039754584,-0.22995296,0.021563506,-0.056423463,-0.06673738,-0.10497066,0.007962346,-0.06555545,-0.11995267,0.034646325,0.018060539,-5.972601e-05,-0.035272427,0.036443595,-0.012548712,-0.10969974,0.08972635,-0.038132943,-0.0070685917,-0.110309765,-0.02511265,0.03059701,0.03309223,-0.17272833,-0.1703832,0.054182965,9.22282e-05,-0.016549082,-0.10111895,-0.054359663,-0.14572111,-0.12997714,-0.084760666,-0.17151932,-0.022046966,-0.10948185,0.07759918,-0.007259697,-0.060967844,0.012561909,0.030219479,-0.10472341,4.003365e-06
0.037963744,0.083078794,0.006304556,-0.030598028,0.04800708,0.043742176,-0.08430254,0.010666249,0.06038909,0.012701933,-0.054225016,0.07598703,0.06748118,0.15123722,0.011326197,0.008853667,-0.10866011,0.0007454149,-0.055425487,-0.03426992,0.0255705,-0.0073000942,-0.0015405257,0.010364907,0.023311056,0.019192105,-0.02906722,-0.07563095,0.07849226,-0.025040172,-0.013888885,-0.04812122,-0.018222516,-0.044833284,0.01633438,0.09904303,-0.052010573,-0.092695236,0.035184693,-0.056153167,0.1987403,0.08959801,-0.021404471,-0.0058720075,0.06038116,0.13694975,-0.01772574,-0.027914595,0.14934684,0.0035855263,-0.092996724,0.00927655,-0.009624941,-0.09743988,-0.014232583,-0.0991596,-0.04344897,0.12257861,0.11629254,0.10765148,0.07160098,0.03369843,-0.037165705,0.08221132,0.044037633,-0.086826526,-0.05899798,-0.04668409,-1.3039264e-10,0.065364674,0.020477235,0.012223928,0.028167922,-0.049666498,0.046924952,0.13621774,0.034795504,-0.03375188,-0.018870633,0.015478636,-0.07058251,-0.029237555,0.09211985,-1.7330962e-18,-0.12858257,0.059941687,-0.047625642,-0.10960419,-0.039090414,-0.08076825,0.07376514,0.07162808,0.08245929,-0.089845285,-0.050623406,0.06989125,-0.06629556,0.04318264,0.1586712,1.0037726e-07
0.07160511,0.07885994,0.08533634,0.1592749,0.17170262,0.04591775,0.13419235,0.019497933,0.090161584,0.03702069,0.08365332,0.12815183,0.15137906,0.14644575,0.16485058,0.09754962,0.2507615,0.14372817,0.10093159,0.19383839,0.030242667,0.1535374,-0.043650165,-0.019585833,-0.049730368,0.041153084,0.05907402,0.16814516,0.14806573,0.082615584,0.23593463,0.18409427,0.09837732,-0.008431753,0.058985103,0.15472409,0.10170576,-0.012700778,-0.011071958,0.15361121,0.05357518,0.24665155,0.062334843,0.11947551,0.15447126,0.12953165,0.14229806,0.11499065,0.089883775,0.027570194,0.107791126,0.13780965,-0.004573916,0.24787481,0.18125491,0.2402336,0.18351431,0.055881206,0.08811012,0.08747485,0.16209543,0.1768327,0.17632742,0.0818863,0.15854967,0.30881238,0.16051109,-0.062098753,1.8763178e-18,0.06980956,0.022673935,-0.025970155,0.18867052,-0.0346195,0.14349881,-0.027130848,0.2299707,0.087159835,0.04465439,0.11898141,0.0261122,0.1682807,-0.06627037,2.889671e-16,0.030728,0.1398773,0.22291684,0.124777906,0.17483287,-0.021973498,0.09650486,0.05976265,-0.03616243,0.13455601,0.13537884,-0.116356574,0.098347396,0.13083878,0.18534154,0.005563972
-0.03738583,-0.06279252,-0.054002684,-0.2834841,-0.12457787,-0.20570615,-0.086493134,-0.22616567,-0.15995964,-0.12599461,-0.2102725,-0.1889193,0.072621375,-0.12308748,-0.07103119,-0.027999736,-0.1539198,-0.018650075,-0.052449457,-0.16923554,-0.16848741,-0.096295506,-0.068812855,-0.13531257,-0.054518346,-0.0092027895,-0.19394752,-0.065900154,-0.16701636,-0.10205357,-0.082548566,-0.10650294,-0.14362161,-0.07421827,-0.092844024,-0.08664843,-0.04114309,-0.031470735,-0.017881611,-0.12644199,-0.08800755,0.045833018,-0.23087122,-0.10927624,-0.2055134,-0.033226863,-0.13782294,-0.111109294,-0.029593956,0.09099796,-0.1936513,0.021682363,-0.19540514,-0.1129664,-0.09228832,-0.050327733,0.061294448,-0.065958455,-0.17196631,-0.17015183,-0.019249614,-0.03735371,-0.11507117,-0.0019961433,-0.15260689,-0.08569801,-0.09129317,-0.14736727,-2.5676765e-05,0.04213184,-0.0748328,-0.10472315,0.024555609,-0.09226408,-0.0491663,-0.05638723,-0.065051004,-0.11328985,-0.11240345,-0.12957343,-0.10512895,-0.1354296,-0.014040105,6.524766e-08,-0.20365106,-0.06698715,0.057207387,0.036477637,-0.05820938,-0.18011297,-0.1628233,-0.15377767,-0.17790572,-0.13447922,-0.12692967,-0.16023245,-0.1830291,-0.083412744,-0.079679795,1.2239499e-24
-0.1243656,-0.120601974,-0.12598205,-0.20627232,-0.2914073,-0.16901208,-0.097070746,-0.19097674,-0.17028187,-0.12893087,-0.13925341,0.057098653,-0.02529905,-0.12186058,-0.11013092,-0.14975351,-0.058967255,-0.24090625,-0.10246911,-0.15149759,-0.18805437,-0.084252834,-0.18400826,-0.15959024,-0.13522275,-0.09363037,-0.09655851,-0.02596538,-0.07333434,-0.040129792,-0.1269437,0.028392749,-0.11081233,-0.10542814,-0.099840656,-0.14332302,-0.08273556,-0.054731302,-0.15979302,-0.10344359,-0.018921109,-0.058959126,-0.18549892,-0.13929902,-0.08426783,-0.05931525,-0.18850075,-0.036337566,-0.07433143,-0.11721322,-0.09097294,0.064582646,-0.20166034,-0.07839566,-0.024418367,-0.16821599,-0.024686439,-0.09453602,-0.092543244,-0.13277012,-0.17994563,-0.0669246,-0.076204374,-0.15266056,-0.019528942,-0.1888058,-0.115266964,-0.16289155,3.0822556e-11,-0.09107066,0.015955906,-0.25252104,-0.08040719,-0.16117038,-0.06014296,-0.1184577,-0.121705875,-0.01207417,-0.15280248,-0.019956546,-0.008382014,0.08789725,-0.10003939,2.3155852e-07,-0.15800554,-0.11682626,-0.11877457,0.03042973,0.0012547066,-0.18355545,-0.052148588,-0.20522834,-0.07636796,-0.17798957,-0.021583715,-0.1815369,-0.14665335,-0.052164808,-0.03265519,-0.0047829878
-0.012891746,0.012289863,0.028042112,0.09437919,0.022377068,0.10612004,0.017624242,0.110934846,0.1100256,0.16683938,0.033226624,0.034975067,0.1397188,-0.03167737,0.04539762,0.09475639,0.0927303,0.036281697,0.12043902,-0.073282935,0.14946418,0.056609917,0.023859521,-0.114452265,0.06495985,-0.013967037,0.05909591,0.1003415,0.117515825,0.02356906,-0.082818806,-0.08229257,0.081934944,0.09466148,-0.12864853,0.11694618,-0.025178157,-0.06501396,-0.06716141,0.14593522,-0.029588249,-0.012271595,0.071524665,0.000102010905,0.04968737,0.01721136,0.0548848,0.11408921,0.08762211,-0.011314466,0.016230352,0.09640324,-0.03956669,-0.084742896,0.052011423,0.06067863,0.100805916,0.02627612,0.16456896,0.07935896,0.09834593,-0.05679003,0.04102525,-0.00740369,0.0728627,0.063456066,-0.023964068,0.053323716,0.03363865,0.0669824,-0.023588195,0.05312472,0.030054385,0.017761283,0.041473143,0.042235382,-0.034030363,0.07259822,0.056215763,0.04304609,0.032434855,0.04153811,0.015018388,-2.3687262e-06,0.092380755,-0.04282077,0.01909898,-0.02305502,0.057354283,0.07062709,-0.013614771,0.012589954,0.09237654,0.020950466,0.15156794,0.099988334,-0.049507987,-0.09221778,0.0004320184,0.0017868585
0.12712072,0.03287427,0.03238668,0.18677269,0.16347969,0.14019395,0.02370347,0.22721437,0.25369355,0.026602097,0.09542814,0.14320734,-0.09789892,0.11057294,-0.023566172,-0.007700039,0.0633816,0.01613644,0.088297755,0.011790484,0.070053905,0.16260225,-0.019646361,0.09700195,-0.004195642,0.13863848,0.2198557,0.094729654,-0.059836596,-0.04453102,0.081677765,0.17481582,0.15867522,0.09574772,-0.0010807676,0.12557131,0.06954912,0.029593637,0.06374555,0.14418627,0.00040260114,0.102791466,0.19417213,0.14283869,0.2043829,0.074401096,0.11118194,0.20381686,0.015619527,-0.042680882,0.12374201,-0.040303834,0.2595703,0.1662321,0.1647249,0.13497815,0.06122236,0.068377346,0.1489001,0.10115757,0.09189002,0.017881446,0.34632394,0.04819148,0.19003187,0.3136138,0.07973,0.006326679,-3.7160516e-24,0.23766501,0.027887646,-0.024574094,0.08853496,0.13692282,0.15056735,0.007030496,0.035684455,0.13572077,0.09378702,-0.05454466,0.15986264,0.12252299,0.00065880246,0.021837715,-0.067248076,0.09846922,0.09009825,0.17727253,-0.007413215,-0.06153211,0.095297016,-0.021540415,0.19105464,0.21550918,0.1350131,0.16545878,0.09408422,0.08707648,0.086657554,-2.3280784e-08
